RELATIVE_DAY,EXTREME_HEAT,EXTREME_HUMIDITY,PROLONGED_RAIN,HEAVY_RAIN
-7,3.028832305392464,1.050708448397908,1.330813152953261,-1.7406108175925306
-6,3.3633488178694324,-0.7809098780781872,-0.4139040547028857,-1.9182254808901704
-5,0.2522538491429594,-1.1848589908779537,-1.1980794348923138,-1.491472032938471
-4,-3.400342696672075,-0.5560576940013758,-0.8051201855135539,1.140724004028185
-3,-3.244092275732784,1.4711181145596084,1.0862905221554973,4.009584327392985
-2,5.9731965993128915,7.42173908018228,6.891928180843854,8.303020394572162
-1,3.102423453184512,12.009070853919456,10.743390506416423,20.8927551772162
0,14.9732489831521,15.59804639565249,14.298571328080678,18.872010177278742
1,20.727846532931032,20.009949613863725,17.987169068012317,25.61118296876098
2,17.536308558780973,24.23368693562248,20.550601899785967,32.40767669854651
3,10.222135495287407,28.28433078488274,23.330201838459512,38.9148797000128
4,5.262358443537565,32.485385047119514,26.2658501392232,41.62316275637021
5,10.24552910187913,36.60642936223656,29.99096480328721,44.54982482237577
6,17.782994334795667,40.29983794629362,33.526358507507055,49.14397984415637
7,15.877703670607241,43.65739508814786,36.907745529226816,49.43086224150505
